Source,Scenario,Year,Method,Extent,Scale,Scope,Field,Description,Phase,Status,TableType,FileType,Store,Path
FLSWM,Base,2018,NA,FL,SWTAZ,NA,FF_time,Highway Freeflow times,RAW,Ready,long,csv,Accessibility folder,\skims\FLSWM_2018_hwy_skim.csv
FLSWM,Base,2018,NA,FL,SWTAZ,NA,CG_time,Highway Congested times,RAW,Ready,long,csv,Accessibility folder,\skims\FLSWM_2018_hwy_skim.csv
FLSWM,Base,2018,NA,FL,SWTAZ,NA,"Impedance=""FF_time""",Highway Freeflow times,INTERIM,Ready,OD,H5,Accessibility folder,\h5\FLSWM_auto_only_15.h5
FLSWM,Base,2018,NA,FL,SWTAZ,NA,"Impedance=""CG_time""",Highway Congested times,INTERIM,Ready,OD,H5,Accessibility folder,\h5\FLSWM_auto_only_15.h5
FLSWM,Future,2045,NA,FL,SWTAZ,NA,FF_time,Highway Freeflow times,RAW,Ready,long,csv,Accessibility folder,\skims\FLSWM_2045_hwy_skim.csv
FLSWM,Future,2045,NA,FL,SWTAZ,NA,CG_time,Highway Congested times,RAW,Ready,long,csv,Accessibility folder,\skims\FLSWM_2045_hwy_skim.csv
FLSWM,Future,2045,NA,FL,SWTAZ,NA,"Impedance=""FF_time""",Highway Freeflow times,INTERIM,Ready,OD,H5,Accessibility folder,\h5\FLSWM_auto_only_45.h5
FLSWM,Future,2045,NA,FL,SWTAZ,NA,"Impedance=""CG_time""",Highway Congested times,INTERIM,Ready,OD,H5,Accessibility folder,\h5\FLSWM_auto_only_45.h5
FLSWM,Base,2018,M1,FL,SWTAZ,Regional,EMP_Max_15_FF ,"Free Flow Access to Jobs, 15 minute travel time",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\FLSWM_FF_18_TTT_15_30_60.csv
FLSWM,Base,2018,M1,FL,SWTAZ,Regional,EMP_Max_30_FF ,"Free Flow Access to Jobs, 30 minute travel time",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\FLSWM_FF_18_TTT_15_30_60.csv
FLSWM,Base,2018,M1,FL,SWTAZ,Regional,EMP_Max_60_FF,"Free Flow Access to Jobs, 60 minute travel time",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\FLSWM_FF_18_TTT_15_30_60.csv
